CNAE,Estoque,Admissoes,Desligamentos,Ano,Mes
343053,9993,7881,363661,2022,1
2093460,188289,151124,2475580,2022,1
8969082,383221,447219,9568491,2022,1
19205368,876832,761062,20451394,2022,1
2424831,91295,86049,2483044,2022,1
2005311,106826,103986,1883696,2022,1
8081958,455442,396494,8991417,2022,1
961653,44295,37082,1113527,2022,1
955130,20097,16348,1016252,2022,1
164174,7172,6070,184140,2022,1
1194220,70098,56829,1384855,2022,1
4806781,313780,280165,5292643,2022,1
5390323,172899,131573,5756439,2022,1
982469,17641,6739,1034357,2022,1
1908566,61671,49552,1919334,2022,1
2499288,93587,75282,2802748,2022,1
203,138,93,782,2022,1
1302742,50232,42867,1336016,2022,1
266757,12388,9196,256026,2022,1
1033870,37802,33628,1077750,2022,1
2115,42,43,2240,2022,1
-60,0,0,-47,2022,1
39568756,2088905,1735431,42668548,2022,2
1520107,107852,89931,1711262,2022,2
7780799,319456,275565,8349265,2022,2
222128,6210,4328,247854,2022,2
7085654,298966,260737,7602951,2022,2
129964,1686,1753,133122,2022,2
343053,12594,8747,365338,2022,2
2093460,198740,158957,2494519,2022,2
8969082,441800,428371,9559742,2022,2
19205368,1021057,782606,20553807,2022,2
2424831,107763,93410,2497227,2022,2
2005311,123550,101792,1889183,2022,2
8081958,455674,397358,9018998,2022,2
961653,45543,37253,1122314,2022,2
955130,22047,16454,1018652,2022,2
164174,8100,6695,185367,2022,2
1194220,71451,57647,1397155,2022,2
4806781,308533,279309,5295510,2022,2
5390323,268782,146436,5801297,2022,2
982469,39983,10443,1048573,2022,2
1908566,126820,57428,1948051,2022,2
2499288,101979,78565,2804673,2022,2
203,120,109,761,2022,2
1302742,65168,43501,1346341,2022,2
266757,12528,9605,257163,2022,2
1033870,52584,33850,1086898,2022,2
2115,56,46,2280,2022,2
-60,0,1,-47,2022,2
39568756,2002266,1903110,42874116,2022,3
1520107,101334,120158,1711145,2022,3
7780799,311875,306498,8375604,2022,3
222128,5569,4743,249371,2022,3
7085654,292800,290120,7625300,2022,3
129964,1660,1466,132947,2022,3
343053,11846,10169,367986,2022,3
2093460,196183,177244,2520008,2022,3
8969082,443917,452666,9590635,2022,3
19205368,948956,846543,20676770,2022,3
2424831,108360,94177,2512780,2022,3
2005311,118796,113309,1908892,2022,3
8081958,465041,437460,9059897,2022,3
961653,47978,39191,1130744,2022,3
955130,20601,18201,1022239,2022,3
164174,8320,7093,186432,2022,3
1194220,76720,64420,1407745,2022,3
4806781,311422,308555,5312737,2022,3
5390323,195890,151032,5836504,2022,3
982469,21732,7516,1055737,2022,3
1908566,82511,53794,1965860,2022,3
2499288,91647,89722,2814907,2022,3
203,123,144,788,2022,3
1302742,60746,50421,1357909,2022,3
266757,12755,11618,260347,2022,3
1033870,47918,38770,1095273,2022,3
2115,73,33,2289,2022,3
-60,1,1,-46,2022,3
39568756,1886693,1681125,43151938,2022,4
1520107,98435,98552,1739401,2022,4
7780799,288171,261832,8421512,2022,4
222128,5827,4310,250890,2022,4
7085654,269793,247444,7666682,2022,4
129964,1629,1804,132802,2022,4
343053,10922,8274,371138,2022,4
2093460,183223,157734,2553860,2022,4
8969082,428928,398035,9638533,2022,4
19205368,887935,764972,20798685,2022,4
2424831,104718,89165,2527023,2022,4
