secao_letra,secao_descricao,cnae,descricao_cnae,,,,,,,secao_letra
C,Indústrias de transformação,24.39-3,Produção de outros tubos de ferro e aço,,,,,,,C
C,Indústrias de transformação,24.41-5,Metalurgia do alumínio e suas ligas,,,,,,,C
C,Indústrias de transformação,24.42-3,Metalurgia dos metais preciosos,,,,,,,C
C,Indústrias de transformação,24.43-1,Metalurgia do cobre,,,,,,,C
C,Indústrias de transformação,24.49-1,Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,24.49-1,Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,24.51-2,Fundição de ferro e aço,,,,,,,C
C,Indústrias de transformação,24.52-1,Fundição de metais não-ferrosos e suas ligas,,,,,,,C
C,Indústrias de transformação,25.11-0,Fabricação de estruturas metálicas,,,,,,,C
C,Indústrias de transformação,25.12-8,Fabricação de esquadrias de metal,,,,,,,C
C,Indústrias de transformação,25.13-6,Fabricação de obras de caldeiraria pesada,,,,,,,C
C,Indústrias de transformação,25.21-7,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",,,,,,,C
C,Indústrias de transformação,25.22-5,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",,,,,,,C
C,Indústrias de transformação,25.31-4,Produção de forjados de aço e de metais não-ferrosos e suas ligas,,,,,,,C
C,Indústrias de transformação,25.31-4,Produção de forjados de aço e de metais não-ferrosos e suas ligas,,,,,,,C
C,Indústrias de transformação,25.32-2,Produção de artefatos estampados de metal; metalurgia do pó,,,,,,,C
C,Indústrias de transformação,25.32-2,Produção de artefatos estampados de metal; metalurgia do pó,,,,,,,C
C,Indústrias de transformação,25.39-0,"Serviços de usinagem, solda, tratamento e revestimento em metais",,,,,,,C
C,Indústrias de transformação,25.41-1,Fabricação de artigos de cutelaria,,,,,,,C
C,Indústrias de transformação,25.42-0,"Fabricação de artigos de serralheria, exceto esquadrias",,,,,,,C
C,Indústrias de transformação,25.43-8,Fabricação de ferramentas,,,,,,,C
C,Indústrias de transformação,25.43-8,Fabricação de ferramentas,,,,,,,C
C,Indústrias de transformação,25.50-1,"Fabricação de equipamento bélico pesado, armas de fogo e munições",,,,,,,C
C,Indústrias de transformação,25.50-1,"Fabricação de equipamento bélico pesado, armas de fogo e munições",,,,,,,C
C,Indústrias de transformação,25.91-8,Fabricação de embalagens metálicas,,,,,,,C
C,Indústrias de transformação,25.92-6,Fabricação de produtos de trefilados de metal,,,,,,,C
